mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-4	4/4	1	0	firstMeasure		other			2
2	2	-4	4/4	1	0			other			3
3	3	-4	4/4	1	0			other			4
4	4	-4	4/4	1	0			other			5
5	5	-4	4/4	1	0			other			6
6	6	-4	4/4	1	0			other			7
7	7	-4	4/4	1	0			other			8
8	8	-4	4/4	1	0			other			9
9	9	-4	4/4	1	0			other			10
10	10	-4	4/4	1	0			other			11
11	11	-4	4/4	1	0			other			12
12	12	-4	4/4	1	0			other			13
13	13	-4	4/4	1	0			other			14
14	14	-4	4/4	1	0			other			15
15	15	-4	4/4	1	0			other			16
16	16	-4	4/4	1	0			other			17
17	17	-4	4/4	1	0			other			18
18	18	-4	4/4	1	0			other			19
19	19	-4	4/4	1	0			other			20
20	20	-4	4/4	1	0			other			21
21	21	-4	4/4	1	0			other			22
22	22	-4	4/4	1	0			other			23
23	23	-4	4/4	1	0			other			24
24	24	-4	4/4	1	0			other			25
25	25	-4	4/4	1	0			other			26
26	26	-4	4/4	1	0			other			27
27	27	-4	4/4	1	0			other			28
28	28	-4	4/4	1	0			other			29
29	29	-4	4/4	1	0			other			30
30	30	-4	4/4	1	0			other			31
31	31	-4	4/4	1	0			other			32
32	32	-4	4/4	1	0			other			33
33	33	-4	4/4	1	0			other			34
34	34	-4	4/4	1	0			other			35
35	35	-4	4/4	1	0			other			36
36	36	-4	4/4	1	0			other			37
37	37	-4	4/4	1	0			other			38
38	38	-4	4/4	1	0			other			39
39	39	-4	4/4	1	0			other			40
40	40	-4	4/4	1	0			other			41
41	41	-4	4/4	1	0			other			42
42	42	-4	4/4	1	0			other			43
43	43	-4	4/4	1	0			other			44
44	44	-4	4/4	1	0			other			45
45	45	-4	4/4	1	0			other			46
46	46	-4	4/4	1	0			other			47
47	47	-4	4/4	1	0	lastMeasure		end			-1
